reference,intitule_poste,description,experience,divers
188SRWV,"Ingénieur sysops/cloud gcp certifié : google cloud platform, sysops/devops (h/f)","Pour une petite ESN


À propos de la mission

Ingénieur SYSOPS cloud GCP RUN et Build expérimenté (Infrastructure et applications). 

Certification GCP indispensable. pour assurer la mise en oeuvre des environnements DEVOPS pour le déploiement des infrastructures et des applications sous GCP. 

- Support N3, ouverture des cases et suivi auprès du fournisseur de la solution Cloud GCP. 
- Maintien en condition opérationnelle, suivi et préparation des changes. 
- Conseil auprès du Client. 
- Proposition d'évolution de l'architecture technique et applicative. 
- Création et mise à jour de la documentation technique et de la documentation d'exploitation.


Rémunération & Avantages

Rémunération : 45 000 EUR - 55 000 EUR par an
Volume horaire hebdomadaire de base : 35 heures par semaine
Avantages :
- Tous vos services dans une application
- Accès rapide à tous vos documents sur notre applicationPrime sur résultats annuelle (1000EUR)
Transport remboursé à 100%


Profil recherché

- Bonne pratique de la norme ITIL indispensable. 
- Vous êtes diplômé d'un Master en informatique, bon communiquant à l'oral et à l'écrit.

- Expérience : Entre 24 mois et 5 ans


Certificats requis

- Aucun certificat requis
",2 An(s),Salaire brut : Annuel de 45000.0 Euros à 55000.0 Euros sur 12.0 mois
188SXMM,Consultant Data Engineer (H/F),"UFO² Consulting Cabinet de Conseil en IT et Organisation recrute :

Notre objectif est de faciliter la vie de nos clients en leur mettant à disposition des outils digitaux ou des expertises méthodologiques et technologiques afin de simplifier leur business quotidien. Notre ambition est grande et nous recherchons en permanence des êtres venus d'ici et d'ailleurs pour nous accompagner dans notre aventure.

Dans le cadre de notre croissance et pour répondre aux nouveaux besoins de nos clients, nous cherchons à étoffer nos équipes en intégrant un Consultant Data Engineer (H/F) en CDI.

Vos responsabilités :
- Maintenir et améliorer les outils et les rapports d'analyse de données existants
- Analyser les données des clients pour en garantir l'intégrité
- Élaborer des analyses pour identifier les données incomplètes ou inexactes

- Développer des rapports interactifs internes pour mettre en évidence visuellement les données et améliorer l'analyse et la compréhension pour la prise de décision
- Combinez des informations brutes provenant de différentes sources
- Explorez les moyens d'améliorer la qualité et la fiabilité des données.

Vos compétences techniques requises :
- Expérience avec les outils ETL (Spark, Synapse...)
- Connaissance d'Azure
- Compétences pertinentes avec Power BI et Tableau
- Expérience de la conception et de l'architecture de bases de données et d'entrepôts de données.

Votre profil :
- Titulaire d'un Bac+5 en informatique
- Capacité à développer et à innover sur de nouvelles approches et solutions
- Solides compétences en analyse de données et en résolution de problèmes
- Niveau anglais B2/C1
- Parfaite maîtrise du Français (oral et écrit).",5 An(s),Salaire brut : Annuel de 60000.0 Euros à 70000.0 Euros sur 12.0 moisChèque repas Déplacements : Jamais
188SZMM,Product Owner IA (H/F),"A propos du Groupe OCTIME
Basé à Biron (64), le Groupe Octime est un éditeur de solutions RH à dimension internationale, expert du planning, de la gestion des temps de travail et des remplacements. Depuis 25 ans, le Groupe Octime accompagne les entreprises de toutes tailles et de tous secteurs dans la digitalisation de leurs ressources humaines pour créer les conditions d'équité et de bien-être au travail.
Le Groupe Octime propose en France deux offres SaaS :  OCTIME, sa solution de planning et de gestion des temps pour le ETI, avec sa déclinaison clé en main OCTIME Expresso pour les organisations de moins de 200 salariés et STAFFELIO, sa plateforme de gestion des remplacements et des renforts.
N°1 en France sur le secteur de la santé et du médico-social, le Groupe Octime gère plus de 7 000 clients à travers le monde, soit plus de 5,6 millions de salariés. Il enregistre un chiffre d'affaires de 42 millions d'euros en 2024.
Le Groupe Octime est également présent en Espagne, au Portugal, et en Amérique Latine au travers de ses filiales : Grupo SPEC, leader en ingénierie de solutions de gestion des temps et de contrôle d'accès et aTurnos, spécialiste de la planification sous contrainte.

Le poste
En tant que Product Owner IA, vous rejoindrez une équipe R&D passionnée, dédiée à la création de solutions RH innovantes. Vous jouerez un rôle central en définissant et pilotant la roadmap des évolutions d'OCTIME et notamment la trajectoire de fonctionnalités exploitant l'IA. Vous gérerez des projets fonctionnels tout en apportant votre expertise technique pour soutenir les équipes de développement et data science.

Vos principales missions
- Gestion de la roadmap IA : définir la vision produit, établir et prioriser la roadmap IA en collaboration avec les parties prenantes internes dont les Chefs de Produits.
- Pilotage de projets : gérer les projets IA de bout en bout, en assurant le respect des délais, des coûts et des objectifs de performance.
- Support technique : collaborer étroitement avec les équipes de développeurs IA et data scientists pour s'assurer de l'adéquation des solutions techniques (modèles génératifs) avec les besoins des produits.
- Développement de fonctionnalités : intégrer des modèles IA génératifs dans les applications et guider techniquement les équipes de développement. 
- Recherche et innovation : effectuer une veille technologique continue pour intégrer les dernières avancées en IA et proposer des améliorations innovantes.
- Formation et partage d'expertise : former et apporter un support aux équipes internes sur les technologies IA pour assurer une montée en compétence collective.

Profil recherché
- Expérience réussie dans un poste de PO sur un projet IA OU Data-Scientist expérimenté avec des notions de PO
- Connaissances théoriques en IA générative (OpenAI, GPT, LLama) et en frameworks d'IA (LangChain)
- Evolution dans un contexte de langages de programmation (Python, R) et des API IA
- Familiarité avec les services cloud (Azure, AWS) et la gestion de bases de données (SQL)
- Connaissances en architecture de plateformes SaaS et optimisation des systèmes IA pour la performance et la sécurité
- Compétences relationnelles : capacité de communication, autonomie, rigueur, esprit d'équipe et aptitude à travailler avec des équipes pluridisciplinaires. Capacité à formuler et à défendre des idées tout en restant ouvert à la critique constructive.

Vous souhaitez vous lancer dans l'aventure ?  Envoyez votre candidature.",2 An(s),Salaire brut : à négocier Déplacements : Jamais
188TPLW,Ingénieur-e Logiciel Backend (H/F),"Dans le cadre d'un important projet de refonte des systèmes en charge de la gestion des processus métiers d'un acteur majeur européen de la grande distribution, nous recherchons des Ingénieur-es Logiciel Backend.

Intégré-es aux équipes techniques, ils/elles seront responsables de la conception de solutions innovantes couvrant à la fois le front-end et le back-end, tout en assurant la qualité du code et en veillant à l'application des meilleures pratiques en matière de sécurité et de performance.
Les plus expérimenté-es auront également l'opportunité d'évoluer vers des responsabilités de leader d'équipes ou de référent technique, assistant les équipes commerciales.


COMPÉTENCE(S) DU POSTE
- Diplôme en informatique, génie logiciel ou domaine similaire.
- Expérience minimale de 5 ans en développement Backend.
- Compétences back-end : Java et Kotlin, Spring.
- Maîtrise des outils de build et de déploiement.
- Connaissance des bases de données relationnelles et non relationnelles (ex : MySQL, MongoDB).
- Connaissance des méthodologies de développement Agile et des outils de gestion de version.

AUTRE(S) COMPÉTENCE(S)
- Maîtrise de l'anglais impératif en raison de l'implantation des filiales; d'autres langues étrangères appréciées.
- un niveau de français courant est requis, en raison d'une forte clientèle française
- Capacité à participer à l'analyse des besoins et à la définition des spécifications techniques.
- Pour les plus expérimenté-es, des compétences en coordination d'équipes techniques sont un plus.

QUALITÉ(S) PROFESSIONNELLE(S)
- Curiosité et gout important pour le travail technique.
- Excellentes compétences en résolution de problèmes.
- Capacité à travailler en équipe et à communiquer efficacement.

NOUS OFFRONS
- Des projets intéressants de dimension internationale et d'un très haut niveau technique.
- Un environnement de travail bienveillant et agréable ainsi qu'une grande autonomie de travail.
- Des conditions de travail optimales : choix du matériel, travail hybride, possibilité de travail dans d'autres agences du groupe.
- Le choix de votre type de contrat, un salaire compétitif, un plan d'épargne salariale, un plan de santé et des tickets restaurant.",5 An(s),Salaire brut : Annuel de 50000.0 Euros à 70000.00 Euros sur 12.0 moisChèque repasParticipation/action Déplacements : Ponctuels Zone internationale
188TQLL,Ingénieur-e Logiciel Fullstack (H/F),"Dans le cadre d'un important projet de refonte des systèmes en charge de la gestion des processus métiers d'un acteur majeur européen de la grande distribution, nous recherchons des Ingénieur-es Logiciel Frontend.

Intégré-es aux équipes techniques, ils/elles seront responsables de la conception de solutions innovantes couvrant à la fois le front-end et le back-end, tout en assurant la qualité du code et en veillant à l'application des meilleures pratiques en matière de sécurité et de performance.
Les plus expérimenté-es auront également l'opportunité d'évoluer vers des responsabilités de leader d'équipes ou de référent technique, assistant les équipes commerciales.


COMPÉTENCE(S) DU POSTE
- Diplôme en informatique, génie logiciel ou domaine similaire.
- Expérience minimale de 5 ans en développement Backend.
- Compétences front-end requises : JavaScript, Vue.js, React, HTML, CSS.
- Compétences back-end : Java et Kotlin, Spring.
- Maîtrise des outils de build et de déploiement.
- Connaissance des bases de données relationnelles et non relationnelles (ex : MySQL, MongoDB).
- Connaissance des méthodologies de développement Agile et des outils de gestion de version.

AUTRE(S) COMPÉTENCE(S)
- Maîtrise de l'anglais impératif en raison de l'implantation mondiale des filiales; d'autres langues étrangères appréciées.
- un niveau courant de français est requis en raison d'une forte clientèle française
- Capacité à participer à l'analyse des besoins et à la définition des spécifications techniques.
- Pour les plus expérimenté-es, des compétences en coordination d'équipes techniques sont un plus.

QUALITÉ(S) PROFESSIONNELLE(S)
- Curiosité et gout important pour le travail technique.
- Excellentes compétences en résolution de problèmes.
- Capacité à travailler en équipe et à communiquer efficacement.

NOUS OFFRONS
- Des projets intéressants de dimension internationale et d'un très haut niveau technique.
- Un environnement de travail bienveillant et agréable ainsi qu'une grande autonomie de travail.
- Des conditions de travail optimales : choix du matériel, travail hybride, possibilité de travail dans d'autres agences du groupe.
- Le choix de votre type de contrat, un salaire compétitif, un plan d'épargne salariale, un plan de santé et des tickets restaurant.",5 An(s),Salaire brut : Annuel de 50000.0 Euros à 70000.00 Euros sur 12.0 moisChèque repasParticipation/action Déplacements : Ponctuels Zone internationale
189KBNV,Data analyst (F/H),"Vous serez directement rattaché au Superviseur approvisionnements et données produits, vos missions principales consistent à gérer les données de base (Master Datas), en particulier :

Vous créez et mettez à jour les articles dans SAP, les nomenclatures, les gammes associées, les recettes

Vous assurez le maintien à jour de la base de données étiquettes produits finis et transport, ainsi que la traçabilité.",1 An(s),Salaire brut : Annuel de 29250.0 Euros sur 12.0 mois
188VBLD,Responsable Master Data & Excellence des Processus (H/F),"Dans un environnement agile et en pleine structuration, vous jouerez un rôle clé dans l'optimisation des processus et la structuration des données critiques pour maximiser la performance de l'organisation en Europe.

En tant que Responsable Data et & Excellence des Processus, vos missions sont les suivantes : 

Gestion de la Master Data (60%) :

 * Structurer et sécuriser la gestion des données critiques (clients, fournisseurs, produits).
 * Accompagner les équipes métiers dans la mise en place et la fiabilisation des référentiels de données.
 * Former les collaborateurs à la gestion et au suivi qualité des données.
 * Auditer et optimiser les jeux de données pour améliorer la qualité et l'efficacité des processus internes.

Excellence des Processus & Amélioration Continue (40%) :

 * Cartographier et formaliser les processus métiers et leur gouvernance, en clarifiant les rôles et responsabilités.
 * Évaluer la maturité et la performance des processus, et accompagner les équipes dans leur optimisation.
 * Développer un réseau de Process Owners et centraliser les documentations associées.
 * Mettre en place des outils et méthodologies d'amélioration continue.

Formation Bac +5 en gestion de projets, ingénierie ou opérations.

5 ans minimum en PMO, amélioration continue, data management ou gestion de projet data, profil issu du consulting, avec une approche structurée et méthodique.

Rigueur analytique, vision stratégique et forte capacité d'adaptation.

Anglais courant indispensable pour évoluer dans un environnement international.

Maîtrise des outils de gestion de projet, data management et amélioration continue.

Bonne connaissance technique IT et MASTER DATA.

Postulez dès maintenant ! Bon Talent s'engage à accompagner chaque candidat dans son évolution

Ce poste est ouvert à toutes les candidatures, y compris celles des personnes en situation de handicap.",5 An(s),Salaire brut : Autre type de salaire
188VDWM,Consultant(e) DevOps et Cloud (H/F),"Vos missions 

Au quotidien, vous accompagnerez nos clients sur les missions suivantes :

* Définition et mise en place d'une architecture Cloud la plus performante pour nos clients
* Contribution à l'écosystème Cloud
* Déploiement de la solution d'orchestration Kubernetes et des outils DevOps
* Participer aux diverses tâches quotidiennes permettant le maintien de l'infrastructure et proposer des façons d'automatiser les tâches récurrentes
* Anticipation et participation aux montées de version des outils (CI/CD, Kubernetes, OpenShift,  )
* Automatisation grâce à l'Infrastructure as Code
* Mise à disposition des plateformes d'intégration continue et déploiement continu
* Définition des process et normes de développement
* Création de supports de formation et dispense de formation
* Rédaction de documents techniques",2 An(s),Salaire brut : Annuel de 40000.0 Euros à 50000.0 Euros sur 12.0 moisPc portableCE Déplacements : Jamais
188VWGG,LEAD DATA ENGINEER/OPS F/H ,"TA MISSION SI TU L'ACCEPTES

L'équipe Data apporte des solutions aux équipes internes (pour mieux comprendre l'usage des produits RCA, piloter l'activité, analyser et détecter des tendances, .) et participe au développement de fonctionnalités analytiques pour les clients de RCA. En collaboration avec les Data Analysts et les features teams, tes missions seront les suivantes : 

* Tu es référent dans le choix et la mise en œuvre des architectures Data.
* Tu accompagnes notre équipe de data engineer dans sa monté en compétence, et tu mets en place des bonnes pratiques.
* Tu participes à la définition de la roadmap data avec l'ensemble de l'équipe (identification, qualification et priorisation des projets métiers et techniques)
* Tu développes des infrastructures data en utilisant des outils IaC (Terraform) dans un contexte AWS/Snowflake et fusionne dans des CI/CD.
* Tu codes des packages et applications Python Dockerisées dans un contexte d'intégration continue.
* Tu conçois et mets-en œuvre des pipelines de données pour répondre aux besoins des utilisateurs RCA et de ses clients.
* Tu épaules nos Data Analysts et nos PO/PM dans la réalisation de leurs missions
* Tu participes à la définition des bonnes pratiques et à la mise en oeuvre de l'outillage de la plateforme Data (DevOps, tests, observabilité, gouvernance)
 
CE QUE NOUS TE PROPOSONS

* Une stack technique très récente et innovante 
* De nombreux sujets à explorer (Architecture évènementielle, Cloud, Machine Learning, Data as a Service, .) 
* Une grande liberté d'expression et de réalisation, tu peux partager et challenger tes idées  
* Un cadre de travail adapté (locaux modernes, jusqu'à 3 jours de télétravail, horaires flexibles, 5 jours de RTT, lundi de pentecôte et jour anniversaire offerts .)
* Et aussi d'autres avantages : team building, participation, chèques cadeaux, titres restaurants .


Qualifications

TU ES LE CANDIDAT IDÉAL SI

* Tu es reconnu-e par tes pairs pour tes compétences data que tu as pu mettre en oeuvre sur de nombreux projets 
* Les pipelines d'ingestion et préparation de données n'ont plus de secrets pour toi 
* Tu as des expériences significatives dans des contextes similaires à RCA (AWS, Python, Snowflake)
* Pragmatique, tu es soucieux-se de la réalisation et de la qualité du travail tout en veillant au respect des priorités.
* Bon-ne communicant-e, tu aimes les échanges simples et bienveillants, et tu cherches toujours à challenger tes idées et tes méthodes de travail avec celles des autres.
* Tu es proactif-ve au quotidien et souhaites t'impliquer dans la construction d'une équipe et de ses pratiques
 
NOTRE STACK TECHNIQUE 

* ELT : Airflow / DBT / Kafka
* Dev : Python (Poetry, Pytest, Black, .), SQL, Gitlab CI
* Cloud : AWS (IAM, S3, EKS, ECS, RDS, MSK, DMS, .)
* Stockage : Snowflake (Administration, RBAC, ingestion, .), Postgres
* BI / Reporting : Holistics, Thoughtspot
 

Informations complémentaires

Notre processus de recrutement se veut simple, transparent et dans la bonne humeur ! 

Nous débuterons par un premier échange téléphonique qui sera suivi d'un entretien (pour pouvoir rencontrer tes futur(e)s collègues de travail). Nous te tiendrons informé à chaque étape, peu importe le résultat, et nous prenons le temps de te faire un retour directement (et pas par mail)

Envie d'intégrer l'équipe ? Fais-nous confiance et rejoins l'aventure RCA !",Débutant accepté,Salaire brut : Annuel de 24000.0 Euros à 26000.0 Euros sur 12.0 mois
188WBQC,Responsable applicatif ITSM / ESM (H/F),"Poste
Notre client est un groupe industriel international.

Au sein du service informatique, vous interviendrez sur les missions suivantes : 

Administration et Supervision de l'Outil ITSM
Assurer la configuration et la gestion quotidienne de l'outil ITSM.
Garantir la disponibilité, la performance et la sécurité de la solution.
Effectuer une veille technologique 
Gestion des Incidents et Support Utilisateurs
Assurer un support de niveau 2.
Gérer la communication avec les équipes de support technique et les prestataires externes si nécessaire.
Fournir un suivi et une documentation pour garantir un historique complet.
Amélioration Continue et Optimisation des Processus
Travailler en collaboration avec les équipes métiers pour identifier des améliorations fonctionnelles de l'outil, et pour adapter les processus de gestion des services IT.
Proposer des optimisations dans les workflows, formulaires et automatisations de l'outil.
Maintenir la cohérence de la solution en évaluant chaque demande d'amélioration et de personnalisation
Pilotage des Projets d'Évolution
Planifier et piloter les projets d'évolution de l'outil (nouvelles versions, intégrations avec d'autres applications, ajout de nouvelles fonctionnalités).
Organiser la préparation et la mise en production des pays
Piloter une étude pour intégrer de l'intelligence artificielle au sein de l'outil.
Définir et suivre la stratégie de l'application
Gestion des Accès et Conformité
Administrer les droits et profils utilisateurs dans l'outil en fonction des règles de sécurité et de conformité de l'entreprise.
Assurer le respect des politiques internes de sécurité, confidentialité, et des obligations réglementaires (ex : RGPD).
Formation et Support aux Utilisateurs
Élaborer et fournir des sessions de formation aux agents de support, ainsi que des guides et supports pédagogiques pour une meilleure adoption de l'outil.
Favoriser le développement des bonnes pratiques d'utilisation de l'outil.
Participer à la mise oeuvre de plusieurs processus ITIL au sein du département informatique

Conditions du poste : 

Contrat CDI
Salaire : 45k - 65k selon profil
Primes d'intéressement et de participation
Package de congés : 43 jours (CP + RTT + jours de repos supplémentaires)
Télétravail partiel : 2 jours/semaine
Cantine entreprise
Contexte international, technique et passionnant
Ambiance et cadre de travail convivial et agréable

Profil
De formation supérieur en informatique de niveau Bac+3/+5, vous possédez au minimum 5 ans d'expérience en environnement international avec une expérience significative dans la gestion d'un outil ITSM ou ESM, la mise en oeuvre et l'amélioration de processus ITIL et/ou une expérience dans l'opérationnel IT (infrastructure).  

Principales compétences techniques requises :

Connaissances techniques sur un outil ITSM (de préférence iTop de Combodo)
Connaissance des processus ITIL (une certification serait un plus)
Expérience en gestion de projets d'amélioration ou d'accompagnement au changement
Expérience en administration Linux
Compétences comportementales :

Autonomie, dynamisme et sens de l'initiative.
Aptitudes à travailler en équipe (conduite du changement, pédagogie)
Aptitudes relationnelles et rédactionnelles.
Capacité d'analyse et de synthèse
Anglais maîtrisé à l'écrit et à l'oral (environnement international avec +50% des utilisateurs hors France.",5 An(s),Salaire brut : Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois
188YRVH,Post-doctorant ou Post-doctorante en informatique - CDD 1 an (H/F),"Présentation de Télécom SudParis :

Télécom SudParis est une grande école publique d'ingénieurs reconnue au meilleur niveau des sciences et technologies du numérique. La qualité de ses formations est basée sur l'excellence scientifique de son corps professoral et une pédagogie mettant l'accent sur les projets d'équipes, l'innovation de rupture et l'entreprenariat. Télécom SudParis compte 1 000 étudiantes et étudiants dont 700 élèves ingénieurs et environ de 150 doctorantes et doctorants. Télécom SudParis fait partie de l'Institut Mines-Télécom, premier groupe d'école d'ingénieurs en France, et partage son campus avec Institut Mines-Télécom Business School. Télécom SudParis est co- fondatrice de l'Institut Polytechnique de Paris (IP Paris), Institut de Sciences et Technologies à vocation mondiale avec l'École polytechnique, l'ENSTA Paris, l'ENSAE Paris, l'ENPC et Télécom Paris. 

Missions

À mesure que les technologies de l'Internet des objets (IoT) et du continuum IoT-Edge-Cloud progressent, les environnements physiques sont de plus en plus équipés de capteurs, alimentant le développement d'écosystèmes spatiaux intelligents. Les quantités massives de données produites par les appareils IoT révolutionnent la manière dont ces écosystèmes fonctionnent via l'exploitation de modèles/services d'IA. Cela a conduit à l'émergence des systèmes dits d'intelligence artificielle des objets (AIoT). En général, la conception de techniques visant à promouvoir la robustesse, l'efficacité et le fonctionnement continu des systèmes AIoT nécessite des données réalistes et fiables à grande échelle.

La recherche de PANDORA vise à fournir des modèles d'IA fiables pour un fonctionnement continu, économe en énergie et robuste des systèmes AIoT en s'appuyant sur les concepts émergents d'IA en tant que service (AIaaS) et d'informatique en tant que service (CaaS). Nous cherchons à embaucher un chercheur ou une chercheuse postdoctoral pour une durée initiale d'un an, avec une possibilité de prolongation. Il est accessible aux titulaires d'un doctorat en informatique ou dans un domaine étroitement lié, avec une expérience pertinente et un dossier de publications.


Activités

Le candidat sélectionné ou la candidate sélectionnée mènera des recherches pour un fonctionnement efficace et continu du système AioT.

En particulier :

    - Génération de données synthétiques évolutives et compatibles avec le ML
    -  Apprentissage représentationnel fédéré (FRL) de représentations compactes pour minimiser les besoins et les manipulations de données
    - Distribution adaptative et optimisation de l'inférence de l'IA dans le continuum cloud-edge computing

La tâche de génération de données synthétiques vise à développer une approche de simulation pilotée par les événements pour la génération d'ensembles de données personnalisables et réalistes. Des méthodes telles que le clustering agglomératif créeront les modèles basés sur les événements correspondants qui génèrent des ensembles de données pour les données des capteurs (par exemple, l'occupation, la température, etc.). La tâche FRL vise à développer des techniques qui peuvent être appliquées dans les systèmes AIoT pour permettre une représentation et un apprentissage efficaces des données. Un système d'apprentissage parallèle, distribué et fédéré (P-D-FL) sera introduit pour se répartir entre les sous-modèles de compactification basés sur les bords et le système FRL basé sur le serveur. Enfin, la tâche d'inférence de l'IA est axée sur le développement de techniques pour une distribution optimale de l'apprentissage et de l'inférence de l'IA dans le continuum IoT-Edge-Cloud. L'objectif est de gérer efficacement le compromis entre l'utilisation des ressources et les performances d'inférence sur l'ensemble du continuum, en s'adaptant aux changements dynamiques de l'environnement de traitement des données.",Débutant accepté,Salaire brut : Selon profil et expérience Déplacements : Jamais
188YYJG,TAF 2025 - Cloud Architect H/F H/F,"Employeur présent le 26 et 27 mars au Salon TAF secteur DIGITALENT - NUMERIQUE

Nous recrutons un/e Cloud Architect H/F : 5 postes à pourvoir sur France entière

Le/la Cloud Architect sera en charge de concevoir, mettre en œuvre et gérer les infrastructures cloud pour nos clients internes et externes. Ce rôle implique la définition de stratégies cloud adaptées aux besoins des entreprises, la supervision de la migration vers le cloud et la gestion des environnements cloud pour garantir leur performance, sécurité et évolutivité. 

Le/la Cloud Architect aura pour missions : 

Concevoir et déployer des solutions cloud adaptées aux besoins des clients. 
Évaluer les besoins techniques et élaborer des architectures cloud sécurisées et évolutives. 
Superviser la migration des applications et des systèmes vers le cloud. 
Collaborer avec les équipes de développement, de sécurité et de gestion de projets pour intégrer des solutions cloud. 
Assurer le suivi et l'optimisation des performances des infrastructures cloud. 
Garantir la conformité des solutions cloud avec les normes de sécurité et les exigences réglementaires. 
Assurer une veille technologique pour proposer des innovations adaptées. 

Diplôme Bac+5 en informatique, ingénierie ou domaine similaire. 

Certification(s) en cloud computing (ex : AWS Certified Solutions Architect, Google Professional Cloud Architect, Azure Solutions Architect) fortement appréciée. 

Excellente maîtrise des technologies cloud (AWS, Azure, Google Cloud). 
Compétences en architecture réseau, sécurité cloud, et gestion des coûts cloud. 
Connaissance des pratiques DevOps et des outils d'automatisation (ex : Terraform, Kubernetes, Ansible). 
Maîtrise des concepts de virtualisation et de containers. 
Bonnes compétences en gestion de projets et capacité à travailler avec des équipes multidisciplinaires. 

",3 An(s),Salaire brut : Annuel de 45000.00 Euros à 75000.00 Euros sur 12 mois
188ZCDG,TAF 2025 - Cloud Security Specialist H/F,"Employeur présent le 26 et 27 mars au Salon TAF secteur DIGITALENT - NUMERIQUE

Nous recrutons un/e Cloud Security Specialist H/F - 5 postes à pourvoir sur France entière

Le/la Cloud Security Specialist est responsable de la sécurité des solutions cloud utilisées au sein de l'entreprise et pour ses clients. Il/elle joue un rôle clé dans l'évaluation, la mise en place et la gestion des politiques de sécurité, ainsi que dans la protection des données sensibles. Il/elle travaille en étroite collaboration avec les équipes techniques pour garantir la conformité des environnements cloud et protéger l'infrastructure contre les menaces potentielles. Les missions principales incluent : 

- Évaluer et implémenter des solutions de sécurité pour les environnements cloud (AWS, Azure, Google Cloud). 
- Développer et mettre en œuvre des politiques de sécurité adaptées aux services et aux données dans le cloud. 
- Assurer la gestion des identités et des accès (IAM), des protections contre les menaces, et des protocoles de chiffrement. 
- Effectuer des audits de sécurité réguliers des infrastructures cloud et recommander des actions correctives. 
- Collaborer avec les équipes DevOps et de développement pour intégrer la sécurité dès les premières étapes du cycle de développement. 
- Suivre et analyser les logs de sécurité, et réagir rapidement aux incidents de sécurité. 
- Assurer la conformité avec les normes et réglementations en matière de sécurité, telles que le RGPD, ISO 27001, etc. 
- Fournir des conseils sur les meilleures pratiques en matière de sécurité dans le cloud et sensibiliser les équipes internes. 

Diplôme Bac+5 en informatique, cybersécurité, ou domaine similaire. 

Des certifications en sécurité du cloud (par exemple, AWS Certified Security Specialty, Certified Cloud Security Professional (CCSP), etc.) sont fortement recommandées. 

Minimum de 3 à 5 ans d'expérience en sécurité informatique, avec une expertise spécifique dans la sécurité des environnements cloud. 
Maîtrise des principes de sécurité des informations, des contrôles d'accès et des méthodes de chiffrement. 
Connaissance approfondie des outils et services de sécurité dans le cloud (ex : AWS IAM, Azure Security Center, Google Cloud Security). 
Compétence en analyse de risques et mise en œuvre de politiques de sécurité pour des environnements cloud. 
Connaissance des réglementations et standards de sécurité (RGPD, ISO 27001, SOC 2, etc.). 
Bonne maîtrise des outils de détection et de réponse aux incidents (ex : SIEM, WAF, IDS/IPS). 








",3 An(s),Salaire brut : Annuel de 40000.00 Euros à 70000.00 Euros sur 12 mois
188ZDGF,TAF 2025 - DATA ENGINEER H/F ,"Employeur présent le 26 et 27 mars au Salon TAF secteur DIGITALENT - NUMERIQUE

Nous recrutons un/e DATA ENGINEER H/F  : 5 postes à pourvoir sur France entière

Minimum de 3 à 5 ans d'expérience dans un rôle similaire de Data Engineer ou dans la gestion de pipelines de données. 

Le/la Data Engineer est responsable de la conception, du développement et de la gestion des architectures de données permettant de collecter, stocker et traiter des données à grande échelle. Il/elle travaille en étroite collaboration avec les Data Scientists, les Data Analysts et les équipes métiers pour garantir l'intégrité, la qualité et la disponibilité des données. Le/la Data Engineer crée des pipelines de données robustes et efficaces, tout en veillant à ce que les systèmes de gestion des données soient performants et évolutifs. Les missions principales incluent : 

Concevoir, développer et maintenir des pipelines de données ETL (Extract, Transform, Load) robustes. 
Assurer l'intégration des données provenant de diverses sources (bases de données, API, fichiers, etc.). 
Gérer et optimiser les bases de données relationnelles et non relationnelles (SQL, NoSQL). 
Collaborer avec les équipes Data Science et Data Analysis pour assurer la qualité et la disponibilité des données pour les analyses. 
Mettre en place et gérer les environnements cloud (AWS, Azure, Google Cloud) pour le stockage et le traitement des données. 
Assurer la sécurité et la conformité des données, notamment en termes de protection et de confidentialité. 
Gérer les flux de données et veiller à la mise à jour en temps réel des informations critiques. 
Travailler à l'optimisation des performances des pipelines et des processus de données. 
Participer à la définition des meilleures pratiques en matière de gestion des données et à la mise en place d'une gouvernance des données efficace. 


Maîtrise des langages de programmation pour le traitement des données (Python, Java, Scala, etc.). 
Expertise dans les bases de données relationnelles (MySQL, PostgreSQL) et non relationnelles (MongoDB, Cassandra, etc.). 
Expérience avec des outils ETL (Apache Nifi, Talend, Informatica, etc.) et des frameworks Big Data (Hadoop, Spark). 
Bonne connaissance des outils de cloud computing (AWS, Azure, Google Cloud). 
Connaissance des systèmes de gestion des flux de données en temps réel (Kafka, Apache Flume). 
Expérience en gestion de la sécurité et de la conformité des données. 
Compétences en gestion de version (Git, GitLab). 

",3 An(s),Salaire brut : Annuel de 50000.00 Euros à 70000.00 Euros sur 12 mois
